Datetime,Aberdeen,AberdeenUnionStreetRoadside,AberdeenWellingtonRoad,ArmaghRoadside,AstonHill,BallymenaAntrimRoad,BallymenaBallykeel,BarnsleyGawber,BathA4Roadside,BathRoadside,BelfastCentre,BelfastStockman_sLane,Billingham,BirkenheadBoroughRoad,BirminghamA4540Roadside,BirminghamAcocksGreen,BlackburnAccringtonRoad,BlackpoolMarton,BorehamwoodMeadowPark,Bournemouth,BradfordMayoAvenue,BrightonPrestonPark,BristolStPaul_s,BristolTempleWay,Burton_on_TrentHorninglow,BuryWhitefieldRoadside,BushEstate,CambridgeRoadside,CamdenKerbside,CannockA5190Roadside,Canterbury,CardiffCentre,CardiffNewportRoad,CarlisleRoadside,CharltonMackrell,ChathamRoadside,ChepstowA48,ChesterfieldLoundsleyGreen,ChesterfieldRoadside,ChilboltonObservatory,ChristchurchBarrackRoad,CoventryAllesley,CoventryBinleyRoad,CreweCoppenhall,Cwmbran,DerbyStAlkmund_sWay,DerryRosemount,DewsburyAshworthGrove,DoncasterA630ClevelandStreet,DumbartonRoadside,Dumfries,DundeeMainsLoan,Eastbourne,EdinburghNicolsonStreet,EdinburghStLeonards,Eskdalemuir,ExeterRoadside,FortWilliam,GlasgowGreatWesternRoad,GlasgowHighStreet,GlasgowKerbside,GlasgowTownhead,Glazebury,Grangemouth,GrangemouthMoray,GreenockA8Roadside,Hafod_yr_ynysRoadside,HaringeyRoadside,HartlepoolStAbbsWalk,HighMuffles,Honiton,Horley,HullFreetown,HullHoldernessRoad,ImminghamWoodlandsAvenue,Inverness,Ladybower,LeamingtonSpa,LeamingtonSpaRugbyRoad,LeedsCentre,LeedsHeadingleyKerbside,LeicesterA594Roadside,LeicesterUniversity,Leominster,LincolnCanwickRoad,LiverpoolSpeke,LondonBexley,LondonBloomsbury,LondonEltham,LondonHaringeyPrioryParkSouth,LondonHarlington,LondonHillingdon,LondonMaryleboneRoad,LondonN_Kensington,LondonWestminster,LullingtonHeath,LutonA505Roadside,ManchesterPiccadilly,ManchesterSharston,MarketHarborough,Middlesbrough,Narberth,NewcastleCentre,NewcastleCradlewellRoadside,Newport,NorthamptonKingsthorpe,NorthamptonSpringPark,NorwichLakenfields,NottinghamCentre,NottinghamWesternBoulevard,OldburyBirminghamRoad,OxfordCentreRoadside,OxfordStEbbes,Peebles,PlymouthCentre,PlymouthTavistockRoad,PortTalbotMargam,Portsmouth,PortsmouthAngleseaRoad,Preston,ReadingLondonRoad,ReadingNewTown,RochesterStoke,SalfordEccles,SandyRoadside,ScunthorpeTown,ShawCromptonWay,SheffieldBarnsleyRoad,SheffieldDevonshireGreen,SheffieldTinsley,SouthamptonA33,SouthamptonCentre,Southend_on_Sea,SouthwarkA2OldKentRoad,StHelensLinkway,StOsyth,Stanford_le_HopeRoadside,Stockton_on_TeesA1305Roadside,Stockton_on_TeesEaglescliffe,Stoke_on_TrentA50Roadside,Stoke_on_TrentCentre,StorringtonRoadside,SunderlandSilksworth,SunderlandWessingtonWay,SwanseaRoadside,SwindonWalcot,TelfordHollinswood,Thurrock,TowerHamletsRoadside,WalsallWoodlands,Warrington,WestBromwichKenrickPark,WickenFen,WidnesMiltonRoad,WiganCentre,WirralTranmere,WorthingA27Roadside,Wrexham,YarnerWood,YorkBootham,YorkFishergate,BirminghamLadywood,CwmbranCrownbridge,Average
2021-01-01 00:00:00,4.70844,7.08369,12.85877,22.50321,1.29002,3.51459,1.27416,9.59511,33.23894,NaN,10.08376,4.21819,32.30501,50.62561,52.60689,46.74054,62.39626,30.72709,16.99592,29.50482,64.35098,18.23746,65.08916,55.70193,29.31661,39.51386,2.24467,32.2015,35.03478,19.43335,NaN,41.89152,56.45054,22.98781,16.06563,15.21582,21.29361,NaN,37.41838,15.65841,29.91539,55.70783,67.71223,27.16827,NaN,31.44474,4.82264,36.86062,35.68962,11.75207,11.28602,0.59631,23.72406,15.67674,8.92491,1.64559,25.7265,6.61421,28.27052,42.28984,42.75078,15.72728,23.04178,8.12049,6.1894,2.12622,33.49632,37.06795,7.9986,5.19964,7.48295,19.41661,34.76133,28.84154,24.5692,3.19733,8.3642,41.10637,34.5379,19.76611,20.34259,60.66825,39.26137,26.33734,36.94719,NaN,17.77119,30.41829,14.20744,17.71485,15.83996,17.33825,22.07004,23.53143,25.46073,18.72901,30.45717,46.0371,27.09639,NaN,20.24997,1.95585,14.9118,9.60703,19.08894,NaN,26.05799,20.69236,54.32554,60.34149,46.62971,32.44123,23.86685,6.14615,23.92319,18.71238,12.57411,NaN,18.84868,53.3647,14.23969,18.33682,7.58546,46.27239,20.4255,51.77599,46.45683,41.33916,70.02236,56.79744,26.83219,16.90278,9.44973,35.97546,35.75032,9.9682,12.43345,36.98726,10.38743,49.3229,46.28634,13.31008,13.00954,19.97905,24.18842,39.00362,21.05617,11.17694,31.78055,22.75979,24.68736,36.06051,21.69108,46.03933,39.59379,39.78991,22.80604,36.74934,1.06018,19.86346,28.8159,42.41353,36.3375,26.4493774193548
2021-01-01 01:00:00,2.54363,7.2828,12.3981,19.43228,0.76883,4.90875,-0.3519,6.8442,31.67865,NaN,4.35476,3.08423,10.49198,51.39716,47.16225,44.11133,63.21259,30.66885,16.9575,28.06403,69.93375,16.62473,64.19625,83.57243,32.32762,43.5132,2.10184,29.25169,22.93725,24.5259,NaN,34.35615,54.06127,27.78098,16.2486,14.24175,16.9167,NaN,24.4647,19.70066,28.89469,55.04047,60.14239,24.92306,NaN,28.9323,4.62825,32.78981,28.5039,13.75566,7.4208,0.7803,23.103,15.15465,9.00851,0.39398,27.64232,6.80978,13.99249,29.91724,25.9233,7.7571,22.44893,9.15195,NaN,10.9344,31.82974,37.29375,7.23562,6.2118,3.00964,18.564,30.07406,25.60136,19.76186,6.12,3.4221,34.87253,33.03589,15.6468,21.3537,48.42322,34.33894,23.88458,34.37846,NaN,24.58901,26.55698,17.8245,20.74425,15.045,15.96746,22.10213,18.37275,23.51738,20.74552,32.43409,42.6564,29.38875,NaN,20.38024,1.21635,13.23705,9.66578,20.08508,NaN,31.57012,21.39195,44.4924,55.98653,35.05469,27.67069,21.43976,5.84396,16.63875,13.52392,15.11895,NaN,9.48154,51,12.32861,15.453,11.21618,39.76024,21.8025,49.77855,36.40125,41.3814,58.31978,48.40792,26.57419,22.36669,10.27905,31.92441,30.84416,7.51039,11.19312,10.88404,7.52951,29.43338,30.6918,10.86937,9.44138,10.01528,33.01485,35.61203,31.51226,17.71804,28.68113,23.26046,30.04474,33.91373,24.3066,50.31214,31.29934,36.2406,18.98284,35.802,1.22783,17.70784,23.49187,NaN,31.93875,24.3012290849673
2021-01-01 02:00:00,1.94119,4.17244,3.2487,27.20085,1.52761,7.88906,-0.66683,9.19084,43.36785,NaN,3.84986,2.48243,5.12422,38.65226,29.7432,18.40845,43.15556,29.28803,17.40375,26.26054,30.9672,18.30454,65.535,80.6616,34.99238,42.2739,-1.04136,25.50319,25.704,20.3031,7.15753,37.16179,55.39891,20.32095,20.13863,11.65382,11.80076,NaN,11.71024,17.35657,27.26779,40.29637,37.94528,25.8307,NaN,28.23233,3.11977,28.8558,26.08459,16.065,4.77292,1.43055,17.697,14.72051,7.46305,0.11858,15.20294,8.95624,16.41435,39.99292,34.4097,7.21013,22.76258,9.15195,6.6402,1.55167,21.10635,31.875,4.48673,5.9976,5.29237,13.84013,20.70727,14.21944,18.42184,5.3856,1.80923,38.50564,29.631,20.1552,25.49267,40.3461,31.79531,20.94044,31.34779,NaN,30.0339,23.48933,23.868,15.0195,19.5075,18.05018,27.9735,27.55913,18.54838,16.94539,21.57109,49.61408,28.6875,NaN,19.39849,1.51613,15.30765,8.50297,12.28144,NaN,27.02984,20.1603,44.37,50.33955,23.49554,25.85891,20.20237,5.17092,18.87,24.81469,11.12055,NaN,14.74538,54.25125,11.0423,16.74075,9.29666,39.60979,22.185,44.92463,33.81428,19.13201,53.43653,38.10465,22.35713,19.60312,10.84324,25.92872,18.97646,8.96963,13.4748,4.41644,4.4327,14.92451,19.83263,10.23825,6.20415,NaN,18.41738,40.68015,20.01431,18.91319,24.123,21.89621,31.27639,17.17871,30.79444,47.95355,25.72456,25.19336,12.83798,37.3167,1.58594,15.43515,15.40582,23.55148,17.595,21.3185583870968
2021-01-01 03:00:00,1.80731,4.32416,3.23213,29.0284,1.58259,12.46472,0.84915,7.98564,44.18066,NaN,3.40808,2.59526,3.40616,27.86513,27.88425,20.03535,46.18353,16.35188,14.9175,25.48119,13.90388,14.55843,53.55,67.39841,31.66144,40.69035,-0.98303,23.94689,14.12381,22.02818,6.97106,31.58207,46.48714,19.34063,21.99758,13.0093,13.19912,NaN,12.19506,15.67437,24.78696,22.67843,25.50128,27.46446,NaN,24.55746,5.07817,23.89286,17.0901,8.73534,4.71666,1.26799,14.42025,32.55027,20.83764,-0.11618,13.57158,9.11258,26.17973,35.49648,30.97868,12.77933,21.58734,7.51326,6.10661,1.57064,17.78721,28.305,3.34114,4.4982,2.4174,12.30694,19.66815,19.88904,21.54957,3.366,1.76715,37.4281,28.00952,14.02245,17.63708,36.82997,31.06856,15.69732,30.72288,NaN,16.05974,21.25744,14.28638,13.44488,18.16875,18.12907,21.94116,16.46184,20.93805,13.4377,16.41881,51.30473,27.30094,NaN,12.36049,1.41382,13.03369,8.23044,13.26175,NaN,21.17903,20.75397,40.4379,40.92272,22.24429,23.70448,17.09918,5.90963,8.84531,9.70976,6.18503,NaN,16.13624,49.43813,10.83862,14.14915,13.88618,35.49935,20.94188,38.31503,38.16776,12.09943,18.62966,25.37601,18.47475,16.79462,10.35667,20.14341,17.06619,11.05425,12.78108,2.89457,4.55414,16.74824,21.40948,9.51947,3.62419,6.3079,20.20795,34.81802,17.20868,11.50608,21.40566,22.15201,24.67268,18.91654,26.93661,41.78478,23.62655,14.62011,16.97248,26.33513,1.94406,10.22757,10.22901,22.97104,32.13,18.7044853846154
2021-01-01 04:00:00,0,3.75519,6.66315,16.77406,1.53048,8.36241,0.01578,7.02127,41.72071,NaN,2.65073,2.36959,1.71647,11.01887,25.25074,21.56057,46.26433,15.42527,15.25219,23.55339,16.40638,10.6598,53.21531,61.93918,13.14844,39.96743,-1.45924,22.23998,12.98588,14.3557,6.1004,22.75493,43.46443,20.6397,22.3074,11.14748,16.01288,NaN,11.52377,13.49221,20.11185,21.88187,20.30645,30.39632,NaN,20.59093,2.41597,15.80681,19.98802,18.02292,4.68114,0.63399,12.699,23.28851,14.12955,0.14631,14.17545,4.1004,48.08599,31.59641,42.11708,10.19363,21.00021,6.67845,7.70738,5.66865,24.63826,31.50844,0.94238,2.94525,3.1475,11.12597,10.83527,13.92635,18.78744,2.2848,1.22018,35.72789,27.70065,7.50848,11.70737,32.78408,31.52278,11.12119,33.78814,NaN,14.32128,48.81465,10.95863,15.0705,14.77406,13.44296,28.74488,15.9885,16.50009,12.50153,19.19002,47.06184,29.78719,NaN,6.39014,1.41477,12.20175,5.39612,10.37483,NaN,18.21656,21.16516,36.7659,36.54692,20.20604,22.06595,17.00117,2.85632,7.12406,11.63135,6.84101,NaN,10.94285,50.49,13.3416,14.4389,13.19195,37.96791,27.36788,26.0253,39.83833,6.18263,6.90173,8.57613,17.37028,16.8147,10.73295,19.03894,15.74274,15.84793,13.95693,1.63232,2.79321,18.63731,23.89669,7.88906,5.7026,3.59263,17.7523,28.02673,11.69207,10.63828,22.7205,18.82665,23.63515,17.81733,23.82019,27.17854,23.24978,6.63924,13.08341,7.90054,2.71145,5.91393,7.07673,22.13145,22.95,17.0351597435897
2021-01-01 05:00:00,1.30528,4.38106,3.03323,14.91846,2.75018,8.78316,0.33612,6.23332,44.63727,NaN,3.31341,4.85201,2.15156,11.31626,25.50893,19.67819,44.12807,9.70211,12.04875,21.35976,12.05258,7.29619,47.76469,52.57271,14.14772,39.29614,-1.13363,23.84648,14.65931,16.36192,6.81758,20.43602,40.0248,18.8343,21.4812,10.11952,13.81303,NaN,6.93664,13.86515,20.17305,21.55388,22.78218,32.75156,NaN,22.16588,2.86875,7.44632,15.49603,23.04323,3.88877,0.63399,11.7045,19.75373,20.63874,-0.27253,17.86227,4.9572,49.85553,22.63539,37.5921,9.19913,19.12404,6.58569,10.31603,0.75687,19.19146,28.97438,3.13268,0.58905,2.93951,10.31794,12.01767,14.2902,9.23355,2.5704,0.79943,34.66024,23.9182,6.66315,10.38966,36.08983,27.16228,5.87042,34.16968,NaN,15.53476,68.94897,8.721,15.34781,12.86156,12.2596,28.91222,17.40853,24.69324,11.31339,21.42191,43.74557,30.88688,NaN,5.04804,1.26608,11.92444,6.48624,12.80467,NaN,20.01097,20.76019,31.212,34.21463,22.61627,21.66863,17.1403,6.00812,10.71,7.56107,4.54506,NaN,13.3832,46.37813,16.08269,17.14317,13.44057,36.59808,23.29425,19.67389,37.00401,3.99713,5.4468,4.23619,16.86825,20.59141,9.88284,11.30766,13.39611,15.95168,12.88643,0.74588,1.82166,17.97702,24.48191,8.83575,4.84436,4.07841,14.11999,19.30956,12.81471,9.05521,24.92944,22.10085,15.75661,19.73031,23.4506,13.66481,20.89454,6.58665,13.27849,7.38416,2.91608,4.60769,5.88142,21.29617,32.5125,16.2999420512821
2021-01-01 06:00:00,2.15873,7.11211,3.87855,21.58926,2.53884,8.15203,-0.5508,5.26798,43.05038,NaN,9.2302,6.09323,2.15156,7.5539,29.79484,23.14842,41.69393,7.30384,16.065,27.60933,8.99831,6.51254,42.84,45.75656,12.83288,29.27846,-1.35692,23.94689,11.2455,17.431,8.7712,20.22851,38.61768,20.36717,19.0026,10.71813,20.20795,NaN,3.02079,15.05138,22.7621,21.64759,23.868,30.44031,NaN,20.88259,2.82094,6.00525,20.84625,15.11114,4.44492,0.14631,12.12525,19.88426,17.27896,-0.33851,16.37722,4.50346,27.95453,11.2039,22.4757,5.91728,15.96555,10.52783,10.96819,0.64643,37.82973,20.36813,2.1922,1.071,4.08845,10.62872,9.47596,8.58999,15.57014,14.2596,0.75735,31.58111,22.82664,6.21563,6.38584,39.43958,25.89047,5.92397,33.71833,NaN,21.15368,50.13714,18.24525,11.74275,11.23594,11.36025,26.27297,13.14844,24.18117,12.13768,24.54168,43.11158,34.37719,NaN,8.86683,1.16519,9.3177,6.05019,12.59333,NaN,18.93853,19.22302,29.376,31.24547,22.9237,21.7609,15.53572,3.64427,20.22469,9.70498,5.76332,NaN,12.64258,39.15844,22.89167,21.39275,10.85057,32.63155,21.63038,16.16254,37.62939,4.84819,4.20511,4.06502,16.26581,19.70879,10.0258,17.46113,10.7559,11.62704,10.48108,0.79321,1.76093,20.04396,25.65236,9.15131,5.07243,4.36958,10.38535,15.86323,13.94499,8.33898,22.45753,21.84505,13.32056,20.491,23.00116,14.06548,23.42239,2.20655,19.03129,12.44464,2.96724,4.3452,6.55223,23.53523,31.7475,15.8834162179487
2021-01-01 07:00:00,2.25914,3.98278,5.71838,23.44582,2.21946,25.98131,6.67367,5.4425,41.69919,NaN,17.04038,14.49962,1.88094,6.50824,30.31121,24.96578,40.69274,6.21371,17.2125,24.6636,12.7296,5.92779,48.05156,54.73001,14.3055,28.34899,-1.20057,24.19791,10.50919,17.56727,8.5331,15.7174,29.18475,15.04373,19.67389,14.97248,40.41591,NaN,3.91584,15.13074,21.32438,21.17903,17.57205,28.83524,NaN,24.55746,3.37317,7.82021,8.36193,34.08792,4.38949,1.46306,12.699,27.7279,17.80155,-0.49773,40.41208,7.74658,31.74415,28.23519,37.44293,17.40375,18.53786,12.9395,16.30406,1.33971,64.25522,28.305,2.40162,2.0349,14.14103,11.68538,9.14844,17.39945,13.32487,28.2132,0.6732,33.46971,27.38557,8.5527,8.00764,38.38674,29.20627,7.32153,25.81014,NaN,27.66479,60.87488,24.5565,14.61628,14.1525,11.88093,26.55506,13.464,26.51394,10.68227,28.20268,44.42833,33.51656,NaN,18.92801,1.76476,11.25889,5.72316,19.44917,NaN,20.87494,19.6868,17.8092,20.68943,22.39394,22.18739,18.20222,9.94787,16.16063,26.31361,9.32439,NaN,12.56369,30.93469,19.65381,18.44702,8.06501,29.81396,19.5075,11.41189,33.72216,11.09776,4.12096,5.45828,15.01073,20.64018,9.26845,18.40781,11.46687,9.59453,12.13874,1.18336,2.79321,21.9445,26.04251,12.35953,12.52496,3.54243,10.58999,19.30956,13.84363,20.6856,20.56416,19.08245,15.45826,22.21943,20.93088,23.44199,24.17209,1.26751,18.42407,12.70283,2.86493,7.1867,8.46855,23.97988,34.23375,17.8888017307692
2021-01-01 08:00:00,2.05833,5.86038,7.90628,31.48549,2.27253,21.0375,8.02628,7.50656,44.57942,NaN,9.13553,11.50943,2.42218,8.11856,29.58829,25.55291,41.99372,11.39181,17.06906,26.08793,9.68777,6.36576,48.81656,63.93009,15.19959,19.20915,-0.59909,25.30238,15.59644,19.81031,10.30742,19.09823,31.21726,20.54121,19.72553,22.97773,23.1752,NaN,5.81783,16.74107,24.97629,22.58471,19.71453,31.47736,NaN,26.77404,4.97967,13.3875,17.96842,33.23447,6.646,1.80444,11.7045,38.68844,30.73101,-0.64834,25.68966,12.09178,41.86367,48.23851,50.1228,19.14413,19.71788,12.56847,21.28421,9.344,48.59567,32.36906,2.92182,1.3923,15.13887,10.44225,7.79105,10.12095,11.75327,23.3172,0.63113,40.92654,26.11853,7.65765,5.32153,48.50196,32.24953,9.66864,24.58853,NaN,28.17543,66.82753,23.35163,18.83334,14.48719,12.49628,30.36572,15.09441,31.23638,9.74227,38.98775,39.89284,30.88688,NaN,7.31962,1.56538,11.70259,7.19483,19.0901,NaN,21.30668,21.38749,17.7633,19.80967,25.28468,27.55434,21.75899,10.83431,29.73938,52.06494,10.54266,NaN,13.56536,37.1025,21.39275,21.05471,13.68728,26.7554,21.91725,10.27586,32.66646,12.01767,5.14415,8.41118,14.5087,26.09606,10.97201,16.77741,14.94141,8.03107,17.43162,1.47884,2.79321,22.35904,26.72528,12.20175,16.08938,3.58928,22.86824,30.61148,13.31196,20.59906,22.82569,19.44056,17.3502,21.61938,20.57085,10.52114,25.73651,1.73703,21.74417,12.65119,2.66029,7.83838,8.62872,21.89095,32.70375,19.4148016025641
2021-01-01 09:00:00,2.35955,7.39659,8.9505,35.16275,1.68826,26.34947,12.56704,7.06764,44.88207,NaN,6.29547,6.14964,3.35166,10.57756,30.9825,27.66097,45.78621,15.53428,16.59094,24.09989,7.25603,7.1867,44.84813,55.08,16.14628,19.67389,0.15443,24.59953,18.54169,22.09703,12.10756,22.90267,39.29518,20.29354,17.71166,21.35976,21.07766,NaN,6.82476,15.09345,26.6875,20.10133,18.7119,29.98178,NaN,26.07407,4.68084,7.88715,9.51851,32.93325,8.40179,1.41429,12.087,38.46802,27.06713,-0.38011,37.321,7.43437,29.02745,41.12018,40.07835,22.32653,16.54695,17.99471,24.13001,7.86229,44.89355,39.63656,3.02701,0.8568,16.94427,8.45325,7.0839,8.68705,6.21563,29.6208,0.54698,37.33296,25.99279,6.5637,5.11881,42.10273,29.02458,14.78267,21.96984,NaN,29.11255,67.01687,20.99925,19.25409,12.81375,13.67963,31.00641,17.30334,28.84672,8.22901,27.81779,38.72239,29.64375,NaN,5.97704,2.06789,10.70426,6.48624,27.85508,NaN,19.72027,19.50081,14.7339,16.83956,26.01765,26.39824,20.64974,12.65645,46.71281,52.58993,20.2419,NaN,11.86658,46.99969,24.35234,23.08292,19.90434,31.26651,23.06475,10.58569,37.02313,12.55413,4.96628,5.97322,14.75972,29.71929,13.28566,19.30191,15.81398,9.06955,17.48542,3.03227,2.73248,19.92347,25.21344,14.98922,16.08556,5.23977,27.98418,30.96624,13.09584,21.67484,24.08794,19.84984,15.07002,22.34183,16.18644,7.03752,12.59525,4.3452,22.79796,10.7406,2.71145,6.93712,6.83002,23.85557,35.38125,19.4769926923077
2021-01-01 10:00:00,2.96198,5.80348,5.27085,39.34347,1.68683,47.75513,11.4946,5.83504,43.47543,NaN,4.73344,9.87328,3.51231,11.65525,28.81373,27.33297,41.38172,10.68323,16.83,23.20245,10.86109,7.09107,41.50125,56.51724,22.61531,18.48623,-0.44131,21.33633,23.42813,19.3392,15.11975,23.6538,31.58207,24.59332,15.43961,20.98921,31.97461,NaN,6.93664,12.74873,25.46828,20.61675,24.12475,24.94139,NaN,16.97439,5.13219,5.83408,15.24597,19.62942,5.90725,1.70691,8.83575,39.71258,27.74655,-0.49343,38.37623,7.17427,55.74316,39.40658,39.78,25.11113,10.27108,14.28446,27.09439,11.70498,49.44673,41.6925,3.13315,0.6426,23.38509,9.57206,6.2424,11.3569,6.76069,47.7972,0.25245,37.27367,24.62344,6.5637,7.14606,44.86151,26.66264,19.90052,24.91892,NaN,29.71069,50.93753,21.74513,18.62297,11.76188,13.44296,37.80534,17.98706,30.09845,7.30145,26.8056,39.7953,27.73125,NaN,8.24527,2.3213,11.86898,6.86779,26.99398,NaN,16.91702,17.06476,11.3373,19.16612,23.46207,26.35282,22.44032,17.53189,35.66813,48.57702,8.62155,NaN,14.47954,30.88688,25.01215,24.82138,19.17712,30.37767,22.491,8.57183,38.66501,15.87853,5.27468,9.15944,13.95647,24.7707,13.36694,17.93447,16.99687,9.00883,21.39083,2.96342,3.40043,29.77954,21.45825,10.51875,18.4934,8.25865,22.45897,20.82999,11.12214,24.81421,29.18953,17.64998,10.58951,21.30238,14.47189,16.9524,18.42503,5.44345,26.80895,9.44966,2.81377,5.83599,7.53095,21.5773,30.40875,19.614925448718
2021-01-01 11:00:00,2.25914,5.68969,3.13268,44.58038,1.89911,33.71259,9.6347,6.75734,45.74174,NaN,7.00549,10.60673,4.48481,15.75565,28.19408,24.60001,29.52852,8.23044,17.49938,19.38032,11.58306,5.63183,43.12688,70.15528,13.72697,15.43961,0.41023,20.03105,19.94738,18.43698,16.59142,18.27633,30.59187,25.13647,14.76833,21.13217,20.66839,NaN,5.65,12.30407,30.94329,23.75612,17.24119,15.36885,NaN,15.51611,5.18288,7.21873,13.17904,39.81108,7.40082,2.92613,9.486,60.68506,29.54813,-0.16352,43.19047,11.70354,39.40372,31.67674,36.49815,23.37075,10.16781,18.36574,23.00355,13.12883,73.74457,38.29781,5.63757,1.33875,25.18284,10.87734,6.34185,11.36838,20.13193,18.9108,0.42075,34.66884,24.8276,6.51398,10.59238,32.74391,20.39442,18.28446,25.80775,NaN,27.14172,59.06613,18.87638,19.94259,15.63469,17.93973,40.02384,15.30478,27.02602,7.6084,28.74535,37.89332,25.57969,NaN,9.16853,3.02653,9.04039,6.48624,23.59164,NaN,14.23761,15.84076,10.557,15.30574,21.12356,22.39777,18.49053,11.57302,33.61219,58.99393,7.68443,NaN,21.16373,17.49938,27.57538,25.44916,22.33896,30.86201,24.49913,6.6096,39.04464,11.81925,6.07028,6.0392,18.57516,23.95884,15.29092,16.09369,24.39298,8.69183,22.62382,3.89146,5.70786,19.19959,18.97104,14.41069,19.67437,7.22877,17.64998,19.15751,10.38105,28.40541,30.08363,15.29665,10.54457,20.3141,14.93663,14.70091,22.38486,13.69159,37.19526,7.59071,2.30217,6.22662,9.44393,19.45538,27.73125,19.3851456410256
2021-01-01 12:00:00,2.05833,6.03107,4.02773,42.84813,1.10351,27.29616,6.80515,9.14844,45.6705,NaN,9.94022,7.2216,4.81089,9.39133,31.18905,20.71811,38.68605,7.79439,18.26438,24.45562,16.24191,6.40735,48.05156,70.56838,13.41141,13.89049,-0.2338,20.9347,20.28206,17.87327,14.61772,19.17568,31.6863,25.3411,14.20031,23.16659,12.94332,NaN,6.26535,11.29188,31.21248,20.00762,23.06045,9.73845,NaN,12.71621,5.43724,9.22016,17.02268,27.76233,7.93344,3.65766,8.75925,57.77806,28.60287,-0.37294,46.73528,12.25004,45.5677,33.73172,41.07285,32.47043,10.68227,12.89312,8.24096,16.69373,66.25522,37.05469,5.43341,0.48195,25.68583,10.06931,5.78244,10.16542,15.4224,9.1188,0.71528,33.25694,20.24573,9.7461,13.58258,30.53784,14.26247,12.71143,20.9108,NaN,29.15033,59.95401,22.43363,22.17066,17.2125,20.54312,42.29016,18.88116,31.63466,8.33802,27.00068,34.67458,20.36813,NaN,9.322,2.72436,9.48409,5.99569,20.961,NaN,11.82499,13.63756,10.2357,12.16159,20.36908,27.65523,16.19744,6.54983,31.98656,44.70995,7.40329,NaN,11.06859,19.26844,25.50797,22.98634,24.64017,24.87445,23.868,8.62346,28.84911,14.65644,7.62131,8.53692,20.18166,18.76258,17.78864,18.82856,21.26031,8.89982,24.3904,4.36337,8.01529,16.4016,18.19074,16.51444,18.34948,5.71264,20.66839,21.28613,13.87136,29.51513,27.55913,13.86419,11.71406,18.54025,15.04612,13.62513,21.26413,4.77025,28.53641,6.71288,2.55797,6.62394,10.84818,18.67317,18.55125,18.6932547435897
2021-01-01 13:00:00,2.91178,9.38798,7.70738,34.58374,1.15658,29.4525,8.52497,12.86061,49.02072,NaN,11.17091,14.38678,3.39278,10.33372,30.25958,23.51849,50.32313,7.52186,20.41594,21.98275,19.32964,8.39492,42.21844,63.14979,13.67438,15.38798,-0.01913,18.87638,22.69181,16.25051,11.08342,19.96076,28.19455,23.18619,14.61341,30.36907,12.48289,NaN,7.4401,10.97058,29.54048,18.08651,22.80608,10.12047,NaN,12.01624,8.45755,9.75471,18.13241,13.35403,8.13346,2.82859,9.333,52.35086,22.63826,-0.11618,38.43838,10.02676,31.08147,35.64661,32.4207,23.71883,12.21131,7.04948,4.68371,12.01337,101.61686,35.33344,4.49868,0.48195,17.13218,11.43675,7.19052,8.68466,6.60864,12.3216,1.26225,32.90695,19.78864,11.18813,14.14007,34.62677,17.57827,6.97489,19.97463,NaN,32.20602,62.25905,25.13025,22.34278,19.45969,20.44845,40.79841,20.82712,33.39847,8.6555,30.85675,21.01933,20.655,NaN,5.08964,2.72818,9.37316,6.26822,18.97296,NaN,13.20151,16.05305,11.5209,15.22254,20.33609,30.85628,15.46495,4.13674,28.63969,47.05993,8.76212,NaN,17.70688,26.48813,25.62128,18.59189,27.04753,22.87876,24.327,8.05545,14.28255,25.59451,7.17809,10.44942,24.49913,19.36311,21.40709,23.19384,25.09104,9.36503,29.25631,4.43222,7.95457,12.33993,18.87351,19.98563,18.48144,6.78938,19.13361,26.35425,10.85583,32.25527,28.87397,14.11999,10.83718,18.40351,11.64665,10.91033,11.59501,4.24958,31.08912,13.6323,2.86493,6.40879,9.11115,19.6256,18.7425,18.7009418589744
