Datetime,Aberdeen,AberdeenUnionStreetRoadside,AberdeenWellingtonRoad,ArmaghRoadside,AstonHill,BallymenaAntrimRoad,BallymenaBallykeel,BarnsleyGawber,BathA4Roadside,BathRoadside,BelfastCentre,BelfastStockman_sLane,Billingham,BirkenheadBoroughRoad,BirminghamA4540Roadside,BirminghamAcocksGreen,BlackburnAccringtonRoad,BlackpoolMarton,BorehamwoodMeadowPark,Bournemouth,BradfordMayoAvenue,BrightonPrestonPark,BristolStPaul_s,BristolTempleWay,Burton_on_TrentHorninglow,BuryWhitefieldRoadside,BushEstate,CambridgeRoadside,CamdenKerbside,CannockA5190Roadside,Canterbury,CardiffCentre,CardiffNewportRoad,CarlisleRoadside,CharltonMackrell,ChathamRoadside,ChepstowA48,ChesterfieldLoundsleyGreen,ChesterfieldRoadside,ChilboltonObservatory,ChristchurchBarrackRoad,CoventryAllesley,CoventryBinleyRoad,CreweCoppenhall,Cwmbran,DerbyStAlkmund_sWay,DerryRosemount,DewsburyAshworthGrove,DoncasterA630ClevelandStreet,DumbartonRoadside,Dumfries,DundeeMainsLoan,Eastbourne,EdinburghNicolsonStreet,EdinburghStLeonards,Eskdalemuir,ExeterRoadside,FortWilliam,GlasgowGreatWesternRoad,GlasgowHighStreet,GlasgowKerbside,GlasgowTownhead,Glazebury,Grangemouth,GrangemouthMoray,GreenockA8Roadside,Hafod_yr_ynysRoadside,HaringeyRoadside,HartlepoolStAbbsWalk,HighMuffles,Honiton,Horley,HullFreetown,HullHoldernessRoad,ImminghamWoodlandsAvenue,Inverness,Ladybower,LeamingtonSpa,LeamingtonSpaRugbyRoad,LeedsCentre,LeedsHeadingleyKerbside,LeicesterA594Roadside,LeicesterUniversity,Leominster,LincolnCanwickRoad,LiverpoolSpeke,LondonBexley,LondonBloomsbury,LondonEltham,LondonHaringeyPrioryParkSouth,LondonHarlington,LondonHillingdon,LondonMaryleboneRoad,LondonN_Kensington,LondonWestminster,LullingtonHeath,LutonA505Roadside,ManchesterPiccadilly,ManchesterSharston,MarketHarborough,Middlesbrough,Narberth,NewcastleCentre,NewcastleCradlewellRoadside,Newport,NorthamptonKingsthorpe,NorthamptonSpringPark,NorwichLakenfields,NottinghamCentre,NottinghamWesternBoulevard,OldburyBirminghamRoad,OxfordCentreRoadside,OxfordStEbbes,Peebles,PlymouthCentre,PlymouthTavistockRoad,PortTalbotMargam,Portsmouth,PortsmouthAngleseaRoad,Preston,ReadingLondonRoad,ReadingNewTown,RochesterStoke,SalfordEccles,SandyRoadside,ScunthorpeTown,ShawCromptonWay,SheffieldBarnsleyRoad,SheffieldDevonshireGreen,SheffieldTinsley,SouthamptonA33,SouthamptonCentre,Southend_on_Sea,SouthwarkA2OldKentRoad,StHelensLinkway,StOsyth,Stanford_le_HopeRoadside,Stockton_on_TeesA1305Roadside,Stockton_on_TeesEaglescliffe,Stoke_on_TrentA50Roadside,Stoke_on_TrentCentre,StorringtonRoadside,SunderlandSilksworth,SunderlandWessingtonWay,SwanseaRoadside,SwindonWalcot,TelfordHollinswood,Thurrock,TowerHamletsRoadside,WalsallWoodlands,Warrington,WestBromwichKenrickPark,WickenFen,WidnesMiltonRoad,WiganCentre,WirralTranmere,WorthingA27Roadside,Wrexham,YarnerWood,YorkBootham,YorkFishergate,BirminghamLadywood,CwmbranCrownbridge,Average
2021-01-01 00:00:00,0.53827,3.41393,3.40729,3.21842,0.24741,0.67516,0.42379,0.64333,62.04191,NaN,0.40748,4.56975,5.07006,11.48804,20.12084,9.47355,59.15972,1.9707,0.95251,12.5524,96.24144,0.89404,258.27903,284.37934,38.857,4.08882,0.18731,3.88744,13.34154,1.70762,NaN,14.79653,88.93373,6.70622,1.15334,3.6521,8.02656,NaN,17.26404,0.5855,29.60074,48.24373,153.78175,1.2991,NaN,52.16045,0.6218,5.41358,4.36113,2.43101,3.8818,0.19394,0.51617,5.00378,1.0835,0.30516,7.2137,0.46624,7.67147,10.98361,8.30012,0.51991,0.67699,0.88841,0.21775,1.14128,17.7984,11.57679,0.85699,0.24221,0.65136,2.96311,6.04644,5.34384,1.19701,1.91924,0.45509,65.2533,51.51707,3.47274,9.6708,97.99404,22.76657,16.87034,42.72048,NaN,1.48206,4.47592,0.90601,2.21126,1.59989,0.98801,6.61453,1.52331,2.99435,1.04617,21.94966,3.19732,0.88028,NaN,2.4758,0.55331,1.10892,2.76413,2.14091,NaN,13.33366,2.49028,71.45691,160.84772,28.87802,10.76209,0.77391,0.84936,1.06493,6.42464,2.74554,NaN,1.53457,57.25401,5.07389,5.82225,0.83363,6.57727,3.70448,18.22914,21.68358,42.07304,160.60202,36.01835,5.52816,7.23917,0.34055,26.15535,5.14689,0,1.80974,36.19667,1.48003,16.58149,10.7962,2.30146,9.171,6.38121,5.38709,48.05368,1.02434,1.36813,16.79457,1.23551,1.64188,3.83077,0.35042,4.59661,3.38386,7.55837,10.68272,10.52699,0.53224,0.45072,9.99669,4.35309,9.72894,17.6659275483871
2021-01-01 01:00:00,1.22235,1.83062,2.50791,6.76203,0.69849,0.64028,1.49676,1.08266,48.38194,NaN,0,4.70981,1.73624,26.0694,23.79848,4.40796,39.39098,2.36987,1.37203,8.09498,91.66657,1.45601,238.19272,224.29697,38.82845,5.07402,1.4951,4.23458,9.546,2.15533,NaN,10.41911,75.13818,13.24508,1.6614,4.7335,6.00575,NaN,5.64279,1.35124,22.05226,17.52041,67.53506,0.33469,NaN,39.0064,0.6486,4.88942,3.76186,1.5716,2.43913,0.76335,0.69849,5.84984,0.5459,0.94296,7.15202,1.06769,3.15567,11.10097,3.5889,1.25395,1.56411,0.24198,NaN,1.52171,18.42761,12.14039,0.62864,1.07102,1.5267,1.78364,5.44447,3.97265,0.61866,1.86263,0.65857,40.8391,77.6569,1.64311,10.22453,43.55322,10.42743,15.94465,38.03267,NaN,1.52087,5.89474,0.79827,2.56112,1.41361,0.69974,5.1264,1.55497,2.42434,1.33461,19.8196,3.01098,1.87095,NaN,4.84909,0.77832,0.62698,1.7537,3.64794,NaN,10.7405,2.86463,24.54686,175.52754,12.69253,6.14919,1.2419,1.15625,0.41577,4.25995,2.15949,NaN,0.04282,54.50701,3.30784,5.83695,0.77083,5.77417,5.93715,9.83371,33.84174,30.45408,135.65385,33.52742,7.59606,6.0968,0.5405,13.17149,3.55896,-0.41161,0.83635,3.09206,1.84808,4.03377,1.90837,4.11609,8.41096,2.08767,7.60728,76.41958,1.79985,1.21238,10.61037,0.97872,4.15392,4.01631,0.67188,13.70658,1.89215,7.54367,8.68495,18.32034,0.31141,0.82322,3.96018,NaN,4.36555,14.6553689542484
2021-01-01 02:00:00,1.13504,1.43481,0.86479,11.6556,0.83819,1.92084,1.59654,1.04399,33.10833,NaN,-0.04116,3.13987,1.35041,3.64794,9.02546,1.4951,3.91029,2.98604,1.20572,6.89445,19.33814,2.18402,187.34446,234.7718,13.62883,7.22935,1.73624,3.83077,3.60885,1.70631,0.20955,5.06404,72.77029,7.52247,2.72785,3.98232,2.62474,NaN,1.11883,1.2473,14.29156,1.95577,16.6764,0.39446,NaN,42.15126,0.48645,8.98721,1.97822,2.32466,0.64712,0,0.83153,3.88534,-1.03931,1.12257,1.96387,1.00096,3.88742,13.13823,5.40497,0.87561,1.8485,0.20165,0.38666,-0.71013,11.61902,6.36123,0.33677,1.02445,2.02063,1.40529,1.77449,1.9645,0.20622,2.28838,0.93298,25.31312,12.85135,3.1565,17.91497,30.34307,4.62125,11.48015,12.10131,NaN,1.69259,3.94396,0.49892,1.09762,1.99568,0.7409,6.28639,4.57343,1.5585,2.09089,12.22354,12.72246,2.99352,NaN,6.11801,0.68103,0.48229,1.13754,1.20115,NaN,1.18961,2.60021,50.61045,102.54303,4.42916,3.56229,1.37037,1.12413,0.49892,14.27535,1.42608,NaN,1.79861,39.33153,4.00758,5.50101,0.98495,6.42609,4.3406,3.46874,21.42612,19.07912,78.82853,5.93715,2.61933,6.48596,0.78996,13.686,3.91486,-0.41161,1.30099,1.34989,0.23761,2.56694,-0.46649,1.23483,6.53086,NaN,2.23547,143.98083,1.61525,1.11134,14.58925,0.90086,4.41087,1.00408,1.46974,13.53352,1.48834,2.73907,2.05805,11.2257,0.40038,0.22451,2.2177,2.96047,2.12041,10.4334715483871
2021-01-01 03:00:00,1.1787,1.15032,0.94046,7.90757,0.69849,4.21899,1.34708,1.21799,34.15606,NaN,-0.03087,3.01722,1.04898,1.66826,7.07219,1.50799,5.95804,1.42192,1.09139,8.09498,4.69234,1.57378,159.28021,178.17805,6.86015,14.14438,1.62773,4.42012,1.22235,1.51547,0.26942,4.80211,40.88868,6.43794,2.0543,3.3649,1.80173,NaN,2.69978,1.16934,10.8777,1.13068,7.33412,0.50204,NaN,36.10248,0.51888,5.20374,1.42691,1.1787,1.04534,-0.12723,0.67354,7.82525,-0.34644,1.01031,2.19837,0.70067,6.20844,6.48596,3.08083,0.74589,1.74185,0.12099,0.464,-0.68477,10.9067,6.7666,0.40413,0.87311,1.41444,2.31062,2.23828,4.97673,0.232,1.07767,0.85066,10.17641,9.53561,2.85382,11.5026,19.46536,6.48752,1.69259,9.81688,NaN,0.88309,3.05339,0.52387,0.96042,1.37203,0.67916,4.18157,1.44063,2.00379,1.5348,8.64379,13.19955,2.30751,NaN,2.31125,0.55131,0.54258,1.13754,1.16779,NaN,0.03399,2.37985,49.6625,36.7361,1.48741,4.38925,1.2526,1.12413,0.15591,6.05003,1.13068,NaN,1.70225,33.92656,3.56229,4.66116,0.86719,4.2957,2.9561,1.78489,11.70841,15.15906,10.99183,2.84384,0.72032,3.24298,0.62365,12.03956,3.30316,-0.41161,2.68329,1.45373,1.34646,2.5975,0.15903,0.96042,5.19501,2.1519,1.43471,120.84341,1.3845,0.33677,9.84432,1.33461,3.5651,0.85128,0.69288,12.77204,0.79609,1.95327,8.39682,3.56977,0.56721,0.16839,2.09889,3.27541,8.10745,7.58386307692308
2021-01-01 04:00:00,0.98225,1.039,1.65392,3.63682,0.62864,1.85224,1.53418,1.01499,34.50531,NaN,-0.03087,2.75965,1.04898,0.90086,4.71479,1.81732,8.08812,1.49302,1.12257,10.66753,5.22556,1.38107,162.11782,147.42151,0.61741,8.8234,1.37453,3.929,0.7858,1.41444,-0.11974,3.71072,86.02597,4.22273,1.31341,2.62401,4.7045,NaN,2.8822,1.44219,4.54828,0.79453,5.53334,1.36268,NaN,5.47814,0.42159,2.79395,3.89158,2.25917,0.63467,-0.12723,0.49892,5.23866,-0.78736,0.94296,0.23449,0.33365,8.67809,4.08491,5.48064,1.16747,1.67076,0.24198,0.42533,0.07609,19.89849,8.63755,0.30309,1.04773,1.44812,1.17558,0.72593,2.71756,0.73466,1.06436,0.71346,6.83988,9.2612,1.36205,9.28802,14.28096,5.48032,0.84629,5.18627,NaN,0.8095,20.7058,0.56129,1.98944,0.81075,0.49393,11.00119,0.99472,1.26164,1.60153,8.93846,5.59788,2.77524,NaN,0.9177,0.61617,0.5064,0.8887,1.03432,NaN,-0.13596,2.51206,38.9457,20.06968,0.79328,3.49868,1.28472,1.12413,0.09355,4.31659,1.58906,NaN,0.22483,29.31155,2.98978,3.40139,0.99566,6.18162,4.11609,2.89623,12.45491,5.81211,2.13974,1.08515,0.65483,1.88093,0.77956,6.00263,2.43567,-0.34301,2.26512,1.24605,0.27721,3.39203,-0.25445,1.23483,6.1969,1.09201,0.93423,96.94577,1.31528,0.20206,8.47228,0.8675,4.4644,1.93176,0.62989,2.07676,0.65764,1.44812,5.3715,0.67354,0.23356,-0.19645,1.46527,2.58254,1.37203,6.61364012820512
2021-01-01 05:00:00,1.11322,1.33586,1.10261,2.26884,0.69849,1.57784,1.72127,0.78299,23.85337,NaN,-0.09261,5.77687,1.08515,1.03432,4.91686,1.85598,12.16305,1.20863,0.93548,13.20579,3.83919,1.28472,141.13199,124.87095,0.99472,11.11344,1.33835,4.42012,0.96042,0.63987,0.02994,3.05589,59.92248,7.26864,1.11134,3.08707,4.30412,NaN,2.73626,1.01343,8.61947,0.61118,6.25365,0.50204,NaN,7.91287,0.48645,2.7241,2.27009,3.37239,0.97068,0.06361,0.37419,2.65207,-0.03149,1.07767,3.48807,0.66731,16.32716,2.30751,3.01597,1.00532,1.74185,0.27222,0.73466,-0.38043,15.20833,5.64403,0.40413,1.15251,1.48179,0.68913,1.42161,3.33965,0.65733,1.11758,0.82322,4.40422,3.94459,0.16215,5.48687,19.30633,1.7774,0.25757,4.8467,NaN,0.7727,60.20904,0.93548,1.02902,0.84193,0.37045,7.7738,1.33773,2.18932,1.96855,8.28363,5.40705,1.93332,NaN,0.88371,0.74589,0.39789,1.17309,1.23452,NaN,-0.27191,2.80954,12.78233,24.49074,0.85939,3.27603,1.76649,1.38107,0.1871,2.85507,1.10012,NaN,0.48177,27.56533,1.87656,2.89748,0.99566,9.32481,4.3406,0.60619,6.64,3.73878,1.37764,1.01031,0.94951,2.91868,0.65483,-1.02902,2.23547,-0.30871,1.04544,0.89993,0,1.13068,0,1.92084,6.38243,1.22048,1.10105,20.72451,1.17683,0,8.57519,0.83413,2.98697,1.04773,0.66138,0.69225,0.72686,1.41444,10.92822,0.77457,0.33365,-0.25258,1.46527,2.17311,2.4946,5.60440807692307
2021-01-01 06:00:00,1.11322,2.18932,1.07018,7.14017,0.62864,3.87599,1.30967,0.63799,22.70086,NaN,0.27784,6.3656,1.08515,0.93423,9.96842,1.81732,18.61502,1.06644,0.99784,8.47228,3.91029,1.50955,123.88807,100.25299,0.68602,5.42201,1.51921,5.04221,0.91677,1.01031,0.29935,3.79803,14.92114,3.59971,0.97664,2.22269,8.90853,NaN,0.87561,1.13037,7.22,0.70285,6.81026,2.15159,NaN,5.32597,0.6486,1.5716,11.02613,1.63708,0.93334,-0.03181,0.52387,4.64931,-0.06299,0.77457,1.55351,0.50048,2.26385,3.18062,2.98354,1.36205,1.70631,0.30247,0.77333,-0.7989,29.61184,7.60853,0.23574,1.11758,1.65018,1.05397,0.69568,1.70257,1.23732,2.59438,0.65857,2.13538,3.73878,-0.12972,3.56977,29.83417,2.04401,0.44154,10.43429,NaN,0.95668,44.91028,0.74838,1.16623,0.77956,0.33958,12.76923,1.50923,2.33775,1.6349,11.75424,27.19426,3.14943,NaN,1.05366,0.71346,0.32554,0.85315,1.83509,NaN,-0.33989,2.64428,13.38103,34.19161,1.71878,6.13859,1.44531,1.05989,2.08923,5.71014,1.43627,NaN,0.83507,16.55791,2.73533,3.84231,0.7066,8.31201,4.41544,0.77457,9.70462,4.41856,1.17246,1.19741,0.81854,2.65924,0.59247,-0.34301,2.46903,-0.37731,1.70755,0.72686,-0.0396,2.41415,0.12723,2.57256,6.27111,1.31684,0.40038,1.35519,1.59218,0,7.54617,1.06769,2.82638,1.08047,0.5354,2.56133,1.52295,1.24605,8.58205,1.04399,0.33365,-0.33677,0.91084,1.88966,2.86879,5.28985980769231
2021-01-01 07:00:00,1.01499,1.48429,1.68635,11.97813,0.69849,9.81002,3.33029,0.72499,25.94883,NaN,0.58654,10.59706,1.01281,0.63394,5.99452,2.28131,12.62611,1.17309,1.02902,6.55144,4.55015,1.47743,149.4889,125.31623,0.99472,4.68112,1.6639,4.81302,2.27009,2.22269,0.26942,3.05589,4.55452,5.5034,1.07767,5.40237,23.22223,NaN,1.13099,1.5981,3.30784,1.37515,5.50059,3.98045,NaN,16.77681,0.6486,2.51456,1.91336,9.49507,0.93334,0.31806,0.54881,7.30138,-0.12598,0.77457,15.88686,0.53384,7.06596,5.33221,8.82091,0.81075,1.63521,0.54445,0.58,-0.72281,108.95602,8.98056,0.30309,1.04773,4.91686,0.77021,0.72593,4.55109,1.66265,5.70765,0.82322,4.20402,5.69393,0.61617,3.53672,40.3302,7.46509,0.51514,17.19497,NaN,1.76618,50.31733,1.42192,2.16095,0.96666,0.46306,12.17989,0.99472,5.08368,1.76836,19.7432,30.34307,7.04725,NaN,1.63147,0.51888,0.28937,1.17309,4.40422,NaN,-0.06798,2.87565,1.64644,19.52898,2.57817,5.02537,2.5052,1.31684,0.96666,19.88352,1.52794,NaN,2.21614,6.11177,3.56229,5.03909,0.64236,8.66125,6.02446,1.95327,17.64119,11.25033,0.87935,1.5716,1.80079,2.95111,0.59247,3.05277,2.83605,-0.37731,1.91664,0.93454,-0.15841,5.43948,0.28625,5.45382,10.24158,1.18837,0.36702,0.79328,2.00753,2.39107,7.44326,1.23452,3.37239,1.44063,0.59839,10.69529,1.52295,1.1787,8.45857,3.233,0.40038,0.44903,0.75243,2.26759,3.7419,7.1174716025641
2021-01-01 08:00:00,1.14596,1.37297,1.78364,41.57313,0.69849,7.16886,3.51739,0.92799,35.83243,NaN,0.33958,8.64691,1.15749,0.50048,8.0825,2.35864,13.27439,0.74651,1.02902,13.5488,4.15912,1.54166,160.77697,157.47225,5.48812,3.9739,1.48304,5.14044,1.74622,2.78397,0.74838,3.84168,4.79244,7.85706,1.6165,8.89075,13.67976,NaN,1.45934,1.36423,7.09277,1.06956,8.61105,18.39612,NaN,40.17304,0.6486,2.79395,6.51839,8.87298,1.26935,1.0496,0.5987,11.68876,1.19678,0.97664,4.39673,1.46807,21.36937,15.4977,22.86301,1.32962,1.56411,0.57469,0.77333,2.24452,67.71592,8.32573,0.23574,1.18743,5.45569,1.05397,0.81667,2.42288,1.31465,7.78315,0.65857,16.48245,6.86015,0.12972,3.96641,105.88267,14.78206,0.69911,10.21819,NaN,1.50861,58.9686,1.12257,3.12137,1.12257,0.55567,11.81505,1.09762,4.1189,1.70163,26.42249,26.3673,7.35907,NaN,0.9177,0.61617,0.32554,1.99069,4.7045,NaN,0.95169,3.73504,1.46683,7.44264,5.18939,8.23779,6.00606,1.47743,2.05805,33.4451,1.40571,NaN,2.69791,14.15686,4.58009,6.70829,0.86719,7.22935,6.32381,0.57251,11.98344,13.08574,0.85004,1.75869,0.72032,7.00484,0.62365,-0.27441,3.2698,-0.37731,1.60301,1.48834,0.39602,5.62283,0.5089,7.44326,10.79819,1.31684,4.00383,2.37985,2.28443,1.27973,6.79155,1.03432,4.04687,1.99724,0.50391,1.83447,2.35365,1.21238,14.94141,1.24605,0.50048,0.3929,1.54447,2.803,3.49244,8.73334980769231
2021-01-01 09:00:00,1.14596,1.92957,1.75121,28.99442,0.73341,7.47756,3.36771,0.86999,43.20148,NaN,0.27784,5.15135,1.04898,0.53384,11.21447,3.0933,23.52345,1.74185,1.2473,11.79946,4.97673,2.08767,132.30735,125.76152,2.36675,5.25363,1.55538,4.8785,2.22643,3.87287,0.77832,8.42551,7.57953,10.48761,1.75121,8.61292,10.10968,NaN,1.78769,2.10482,16.09391,2.20024,5.76253,16.10108,NaN,20.04848,0.81075,1.99069,2.04308,5.99172,1.64268,0.28625,0.62365,17.41855,1.82667,1.04399,21.3095,1.10105,3.80738,4.77092,6.93998,1.16747,1.99069,1.33087,1.77865,0.45651,72.96113,12.50418,0.30309,1.15251,7.81309,1.86471,0.54445,1.40789,0.69599,8.26212,0.68602,10.74362,8.40368,0.61617,4.29695,37.7539,13.50826,3.2012,6.4211,NaN,1.80297,57.919,0.89806,2.50396,1.27848,0.67916,10.24345,1.06332,3.117,1.6349,15.32308,26.62175,22.26431,NaN,0.9177,0.6486,0.2532,1.13754,8.44141,NaN,2.78709,4.16474,0.80825,6.04317,5.32161,6.67929,5.17099,2.92274,14.71814,37.11591,9.96219,NaN,2.1519,15.40416,4.89815,7.52714,0.96354,30.489,7.55864,0.50516,17.48403,10.09471,0.85004,1.12257,2.3574,11.77202,0.99784,2.74406,4.60441,-0.1029,1.95149,2.14598,0.79204,4.18656,0.92238,9.46701,10.50133,1.83073,7.64065,2.67733,2.14598,1.1787,6.17414,1.56817,3.24392,2.88126,0.81885,1.62679,0.79609,1.38076,22.53559,0.97664,0.50048,1.12257,1.78208,3.71633,9.35475,8.30440448717949
2021-01-01 10:00:00,1.21144,0.92768,1.94579,41.40631,0.83819,38.62265,2.91868,0.92799,31.71136,NaN,0.27784,9.56679,1.15749,1.46807,12.42685,5.83861,13.8918,1.45747,2.02686,15.94985,8.31824,1.9592,100.56356,119.36848,7.61477,4.71479,1.59156,5.82801,4.27824,7.13955,1.40695,6.59198,4.99637,20.6291,3.16565,10.92822,21.65406,NaN,1.97011,3.04029,16.88907,5.98954,16.46904,22.12554,NaN,6.80963,0.77832,2.06054,5.74008,7.07219,1.64268,0.95419,0.49892,19.3503,2.83449,0.87561,30.30814,1.56817,42.60153,6.39241,17.22022,1.71878,2.38172,1.69383,6.49594,3.1195,103.07251,15.06115,0.4378,1.25728,17.31003,1.45934,0.66544,3.76529,1.08266,22.51127,0.63113,13.81322,9.43271,0.3243,6.80901,62.78534,17.21118,14.01903,7.03851,NaN,3.78992,32.41047,1.98321,3.60158,1.21612,1.48179,16.47371,2.29815,4.08179,2.00192,17.45129,50.85803,24.75891,NaN,1.18961,0.81075,0.43406,1.24418,11.94477,NaN,2.41321,5.51993,0.71845,9.76449,7.47008,6.93374,6.10242,3.40451,13.50202,24.77793,4.21712,NaN,3.98263,10.5085,6.2022,8.37749,2.21614,17.88129,11.74957,2.12166,29.62462,14.61524,1.0259,1.45934,3.73255,10.05324,1.87095,0.75462,4.87133,0.51451,4.39084,1.79985,0.47522,20.44387,2.70352,6.62005,10.3529,2.1519,7.27363,2.37985,2.69978,3.46874,12.38257,2.90278,2.82638,4.58383,1.63771,6.09181,4.15351,1.65018,29.7902,1.75121,0.50048,0.33677,2.45531,4.62967,6.86015,10.1560069230769
2021-01-01 11:00:00,1.53886,3.37675,1.36205,68.53228,0.83819,20.13454,4.5277,1.01499,38.69624,NaN,1.01873,10.19231,1.48304,2.03528,15.18837,8.08126,7.99551,1.74185,2.86879,8.26648,9.34914,1.70225,126.53859,168.66801,3.18997,4.68112,1.9171,7.00671,5.63156,9.42959,2.48462,6.06812,8.56521,14.50267,4.61376,15.21924,14.58063,NaN,2.07956,4.44351,27.28968,10.20666,11.13215,4.23147,NaN,6.88572,0.81075,3.35274,5.15634,26.88087,3.9947,0.34987,0.69849,39.51914,5.85794,1.14502,38.63262,3.80364,14.64642,9.32357,13.26379,3.79429,2.23953,9.04386,5.06529,4.9075,167.54139,12.69128,0.63987,1.15251,22.7994,1.78364,1.0284,4.55109,4.75596,6.58574,0.79578,19.41859,17.21898,0.71346,7.37092,19.6244,5.09522,9.23563,9.786,NaN,4.67301,46.34156,2.69417,4.08179,1.74622,2.99446,21.35689,2.22955,4.19311,1.80173,22.55898,32.15602,8.9182,NaN,1.63147,0.97289,0.39789,1.74185,8.87516,NaN,3.09299,5.78435,1.19741,7.7607,9.15581,5.91594,6.0703,4.40016,12.00526,51.18732,2.84197,NaN,8.73609,3.80427,9.63726,7.87358,4.17534,13.51574,17.28758,0.60619,40.19362,13.93546,1.31902,1.75869,10.1499,11.67473,2.96234,1.40633,8.90853,0.82322,7.7711,1.83447,1.94049,11.91795,3.49868,13.06859,12.9504,2.53732,3.60345,4.03252,3.32281,6.36497,14.68072,4.73787,2.56944,6.31913,2.7715,5.91875,7.82244,2.62681,42.91024,1.9196,0.56721,0.28064,4.91062,6.20438,11.10097,11.5404680128205
2021-01-01 12:00:00,1.37515,2.52329,1.32962,58.55606,0.80326,21.54087,3.44255,5.39395,43.6555,NaN,1.29657,7.61664,1.51921,1.6349,19.22962,8.11992,18.89285,1.52857,4.64619,10.66753,11.33983,2.02343,135.26969,161.79789,3.12137,4.54641,1.80859,9.78975,8.25089,9.49694,2.78397,8.90572,10.91045,18.20621,6.83645,18.30631,7.60728,NaN,2.4444,3.50803,32.09241,9.96219,17.84419,1.36268,NaN,6.20095,1.03775,3.24797,10.47482,13.55503,4.4427,0.69974,0.97289,38.27496,7.36967,1.21238,47.10366,4.57104,28.57253,14.21922,16.47434,7.45885,3.02158,3.11544,1.54665,6.65746,197.79153,17.24392,0.94296,1.11758,25.19047,1.33773,1.20988,5.46785,2.70664,5.2686,0.96042,18.18408,13.17149,1.58906,10.511,21.24651,2.84384,3.31158,12.16305,NaN,5.74008,49.74482,3.85416,6.27704,2.71288,4.69234,27.64329,3.77308,5.86293,1.80173,31.13729,11.95911,5.98704,NaN,1.73344,0.90803,0.54258,2.02624,8.54151,NaN,1.56349,5.55298,1.40695,7.37903,9.51939,14.94889,6.13453,2.8585,15.18588,37.7617,2.7503,NaN,5.33158,4.70856,12.97691,7.27519,5.10676,8.94065,22.71333,1.71753,23.61326,17.47031,1.64145,2.54449,15.09389,6.71297,3.67954,3.46438,9.80939,0.85752,10.03622,2.69978,3.60376,9.93163,3.30784,15.46964,12.54223,2.82638,7.27363,6.77596,4.01506,7.47632,15.77835,4.87133,2.63367,6.31913,3.74783,5.57263,4.22273,1.95327,42.29283,1.51547,0.60058,0.61741,3.68297,6.07841,2.86879,12.0951662820513
2021-01-01 13:00:00,1.63708,3.5994,2.98354,41.10602,0.80326,24.07913,4.3406,4.34996,66.32144,NaN,1.66702,11.8481,1.55538,2.03528,16.4681,5.18128,29.35801,1.9196,5.30103,8.40368,15.99662,2.82638,101.12485,115.61536,2.98417,6.466,1.84476,9.33136,10.91388,8.48663,3.11326,10.04077,17.33435,15.54105,6.73542,28.15406,4.77123,NaN,2.69978,3.23518,22.42334,6.53959,18.23709,1.32682,NaN,6.239,1.58906,2.93365,10.83155,5.92623,4.89071,0.60432,0.94795,37.98029,5.82645,1.01031,28.54945,4.10393,13.4802,19.4267,10.02081,4.18344,3.91029,0.90741,0.92799,6.20095,248.3842,18.95896,1.1787,1.15251,10.03578,2.47277,1.36112,4.71479,1.70132,8.30203,0.8781,11.77794,8.57519,1.97822,10.67626,26.49452,4.44351,1.36143,18.42979,NaN,6.95432,64.75732,4.97673,8.12928,4.64619,5.95804,22.25495,6.58574,8.16358,1.96855,38.79883,3.18062,5.79995,NaN,1.59748,1.16747,0.5064,2.13288,9.34228,NaN,1.73344,6.31321,1.58657,10.52784,6.87512,24.77699,6.19877,1.92708,11.53753,44.04965,4.52271,NaN,10.34199,7.54617,17.23893,5.76346,6.48783,7.40397,26.86684,1.68386,16.0303,24.8459,1.55351,2.80643,25.37476,9.40464,5.39457,5.72823,13.67976,1.13193,10.52409,4.36118,4.475,8.67871,3.21242,23.73612,13.87808,2.56944,13.11255,11.83314,2.80362,9.05914,21.06066,3.40326,2.56944,3.89625,3.18093,6.74945,2.04214,1.98695,37.81658,4.17596,0.70067,0.75774,3.84137,4.56668,2.99352,12.2840088461538
